Continent,Country/Region,Province/State,World,lat,lon
South America,Brazil,Acre,Worldwide,-9.0478679,-70.5264976
South America,Brazil,Amapá,Worldwide,1.3545442,-51.9161977
South America,Brazil,Amazonas,Worldwide,-4.479925,-63.5185396
South America,Brazil,Pará,Worldwide,-4.7493933,-52.8973006
South America,Brazil,Rondônia,Worldwide,-10.943145,-62.8277863
South America,Brazil,Roraima,Worldwide,2.135138,-61.3631922
South America,Brazil,Tocantins,Worldwide,-10.8855129,-48.3716912
South America,Brazil,Alagoas,Worldwide,-9.6611661,-36.6502426
South America,Brazil,Bahia,Worldwide,-12.285251,-41.9294776
South America,Brazil,Ceará,Worldwide,-5.3264703,-39.7156073
South America,Brazil,Maranhão,Worldwide,-5.2085503,-45.3930262
South America,Brazil,Paraíba,Worldwide,-7.1219366,-36.7246845
South America,Brazil,Pernambuco,Worldwide,-8.4116316,-37.5919699
South America,Brazil,Piauí,Worldwide,-7.6992782,-42.5043787
South America,Brazil,Rio Grande do Norte,Worldwide,-5.6781175,-36.4781776
South America,Brazil,Sergipe,Worldwide,-10.6743911,-37.3773519
South America,Brazil,Federal District,Worldwide,-15.7754462,-47.7970891
South America,Brazil,Goiás,Worldwide,-15.9323662,-50.1392928
South America,Brazil,Mato Grosso,Worldwide,-12.2115009,-55.5716547
South America,Brazil,Mato Grosso do Sul,Worldwide,-19.5852564,-54.4794731
South America,Brazil,Espírito Santo,Worldwide,-19.5687682,-40.1721991
South America,Brazil,Minas Gerais,Worldwide,-18.5264844,-44.1588654
South America,Brazil,Rio de Janeiro,Worldwide,-22.9110137,-43.2093727
South America,Brazil,São Paulo,Worldwide,-23.5506507,-46.6333824
South America,Brazil,Paraná,Worldwide,-24.4842187,-51.8148872
South America,Brazil,Rio Grande do Sul,Worldwide,-29.8425284,-53.7680577
South America,Brazil,Santa Catarina,Worldwide,-27.0628367,-51.114965