Suburb,Postcode,Population,Age,Suburb_name_geojson,Unit_buy/M,Unit_rent,House_rent,House_buy/M,id
prospect,2148,4726,20 to 39,PROSPECT,0.48,423.0,485.0,0.72,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1808
punchbowl,2196,20242,20 to 39,PUNCHBOWL,0.39,380.0,530.0,0.78,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.583
putney,2112,4105,40 to 59,PUTNEY,,595.0,970.0,2.1,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.6
pymble,2073,11040,40 to 59,PYMBLE,0.88,600.0,990.0,2.23,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4379
pyrmont,2009,12832,20 to 39,PYRMONT,1.0,720.0,680.0,1.3,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3671
quakers-hill,2763,27077,20 to 39,QUAKERS HILL,0.55,430.0,450.0,0.75,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2671
queens-park,2022,3065,40 to 59,QUEENS PARK,,650.0,1250.0,2.74,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.315
queenscliff,2096,3365,20 to 39,QUEENSCLIFF,0.96,650.0,850.0,2.41,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3196
raby,2566,5936,20 to 39,RABY,,360.0,430.0,0.59,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.147
ramsgate-beach,2217,1661,60+,RAMSGATE BEACH,0.74,473.0,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3292
ramsgate,2217,1113,40 to 59,RAMSGATE,,510.0,650.0,1.2,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.41
randwick,2031,29994,20 to 39,RANDWICK,0.88,595.0,1050.0,2.34,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1815
redfern,2016,13231,20 to 39,REDFERN,0.95,630.0,750.0,1.33,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2106
regents-park,2143,4911,20 to 39,REGENTS PARK,0.43,390.0,460.0,0.76,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4385
regentville,2745,810,40 to 59,REGENTVILLE,,,420.0,0.48,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2213
revesby-heights,2212,1662,40 to 59,REVESBY HEIGHTS,,,660.0,0.9,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3103
revesby,2212,14189,20 to 39,REVESBY,0.7,460.0,600.0,0.9,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2042
rhodes,2138,11920,20 to 39,RHODES,0.85,620.0,605.0,3.7,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2375
richmond-lowlands,2753,32,40 to 59,RICHMOND LOWLANDS,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.608
richmond,2753,5499,20 to 39,RICHMOND,0.44,350.0,400.0,0.58,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1232
riverstone,2765,7238,20 to 39,RIVERSTONE,,350.0,500.0,0.72,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2274
riverview,2066,3340,5 to 19,RIVERVIEW,,,970.0,2.34,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1823
riverwood,2210,12104,20 to 39,RIVERWOOD,0.57,470.0,520.0,0.87,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1079
rockdale,2216,15521,20 to 39,ROCKDALE,0.61,500.0,610.0,1.08,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3665
rodd-point,2046,1405,40 to 59,RODD POINT,,,825.0,1.76,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2300
rookwood,2141,0,60+,ROOKWOOD,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.592
rooty-hill,2766,14705,20 to 39,ROOTY HILL,0.53,430.0,430.0,0.63,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2551
ropes-crossing,2760,6172,20 to 39,ROPES CROSSING,,456.0,480.0,0.63,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3078
rose-bay,2029,10040,20 to 39,ROSE BAY,1.1,650.0,1700.0,3.28,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1512
rosebery,2018,10119,20 to 39,ROSEBERY,0.83,650.0,840.0,1.64,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1250
rosehill,2142,3795,20 to 39,ROSEHILL,0.46,410.0,480.0,0.67,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1730
roselands,2196,11589,20 to 39,ROSELANDS,0.44,390.0,550.0,0.9,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.582
rosemeadow,2560,7835,20 to 39,ROSEMEADOW,0.44,320.0,393.0,0.53,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2910
roseville-chase,2069,1610,40 to 59,ROSEVILLE CHASE,,,1050.0,2.11,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4105
roseville,2069,10088,40 to 59,ROSEVILLE,0.89,610.0,1000.0,2.42,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1190
rossmore,2557,2293,40 to 59,ROSSMORE,,,565.0,0.93,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.568
rouse-hill,2155,7971,40 to 59,ROUSE HILL,0.8,480.0,600.0,0.96,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1391
rozelle,2039,8720,20 to 39,ROZELLE,1.3,600.0,800.0,1.57,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4579
ruse,2560,5585,20 to 39,RUSE,,,420.0,0.57,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1353
rushcutters-bay,2011,2545,20 to 39,RUSHCUTTERS BAY,0.8,580.0,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.779
russell-lea,2046,4999,40 to 59,RUSSELL LEA,0.78,500.0,840.0,1.77,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1219
rydalmere,2116,6657,40 to 59,RYDALMERE,0.64,420.0,493.0,1.01,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.567
ryde,2112,26507,20 to 39,RYDE,0.63,500.0,650.0,1.35,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2227
sackville-north,2756,316,40 to 59,SACKVILLE NORTH,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3611
sackville,2756,294,40 to 59,SACKVILLE,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3308
sadleir,2168,3137,5 to 19,SADLEIR,,,390.0,0.56,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1241
st-andrews,2566,5733,20 to 39,ST ANDREWS,,,420.0,0.58,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1584
st-clair,2759,19894,20 to 39,ST CLAIR,,300.0,440.0,0.66,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2554
st-helens-park,2560,6609,20 to 39,ST HELENS PARK,,330.0,390.0,0.56,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1493
st-ives-chase,2075,3163,40 to 59,ST IVES CHASE,,,822.9337336804881,1.75,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.587
st-ives,2075,17295,40 to 59,ST IVES,0.89,620.0,1000.0,1.9,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3047
st-johns-park,2176,6120,60+,ST JOHNS PARK,,383.0,460.0,0.76,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1036
st-leonards,2065,5488,20 to 39,ST LEONARDS,0.86,640.0,840.0,1.8,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4103
st-marys,2760,12197,20 to 39,ST MARYS,0.43,350.0,360.0,0.57,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1875
st-peters,2044,3143,20 to 39,ST PETERS,0.88,645.0,760.0,1.1,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1902
sandringham,2219,1236,40 to 59,SANDRINGHAM,,500.0,685.0,1.82,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3472
sandy-point,2172,591,40 to 59,SANDY POINT,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2920
sans-souci,2219,10296,40 to 59,SANS SOUCI,0.72,495.0,690.0,1.4,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3731
scheyville,2756,3,40 to 59,SCHEYVILLE,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2728
schofields,2762,4977,20 to 39,SCHOFIELDS,,483.0,550.0,0.76,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1385
scotland-island,2105,582,40 to 59,SCOTLAND ISLAND,,,579.7672436345573,0.98,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.82
seaforth,2092,7133,40 to 59,SEAFORTH,1.41,695.0,1395.0,2.48,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.34
sefton,2162,5812,20 to 39,SEFTON,0.63,410.0,500.0,0.78,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2242
seven-hills,2147,19308,20 to 39,SEVEN HILLS,0.58,400.0,420.0,0.7,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1489
shalvey,2770,3462,20 to 39,SHALVEY,,,350.0,0.48,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2425
shanes-park,2747,404,40 to 59,SHANES PARK,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4493
silverwater,2128,4159,20 to 39,SILVERWATER,0.6,415.0,445.0,0.55,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1810
singletons-mill,2775,3,20 to 39,SINGLETONS MILL,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3463
the-slopes,2754,344,40 to 59,THE SLOPES,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1575
smeaton-grange,2567,8,20 to 39,SMEATON GRANGE,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.93
smithfield,2164,11977,20 to 39,SMITHFIELD,,360.0,450.0,0.68,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.657
south-coogee,2034,5491,40 to 59,SOUTH COOGEE,,598.0,1250.0,2.38,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2772
south-granville,2142,5516,20 to 39,SOUTH GRANVILLE,,400.0,465.0,0.76,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3668
south-hurstville,2221,5135,20 to 39,SOUTH HURSTVILLE,0.72,470.0,600.0,1.19,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2291
south-maroota,2756,547,40 to 59,SOUTH MAROOTA,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3612
south-penrith,2750,11785,20 to 39,SOUTH PENRITH,0.51,360.0,430.0,0.63,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3152
south-turramurra,2074,3083,40 to 59,SOUTH TURRAMURRA,,,762.8535865950175,1.56,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.823
south-wentworthville,2145,6212,20 to 39,SOUTH WENTWORTHVILLE,0.58,420.0,500.0,0.79,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4570
south-windsor,2756,5887,20 to 39,SOUTH WINDSOR,0.48,300.0,400.0,0.6,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.688
spring-farm,2570,4295,20 to 39,SPRING FARM,,340.0,490.0,0.67,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4484
stanhope-gardens,2768,9171,20 to 39,STANHOPE GARDENS,0.54,450.0,570.0,0.86,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4043
stanmore,2048,7950,20 to 39,STANMORE,0.74,475.0,830.0,1.51,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4371
strathfield,2135,25803,20 to 39,STRATHFIELD,0.68,510.0,700.0,2.25,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1043
strathfield-south,2136,3542,20 to 39,STRATHFIELD SOUTH,0.6,480.0,650.0,1.2,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4514
summer-hill,2130,7315,20 to 39,SUMMER HILL,0.74,480.0,730.0,1.46,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4361
surry-hills,2010,16408,20 to 39,SURRY HILLS,0.78,600.0,850.0,1.65,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4533
sutherland,2232,10818,20 to 39,SUTHERLAND,0.58,460.0,560.0,0.98,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4339
sydenham,2044,1149,20 to 39,SYDENHAM,,450.0,720.0,1.15,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1578
sydney,2000,17241,20 to 39,SYDNEY,1.02,780.0,1000.0,2.31,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3646
sydney-olympic-park,2127,0,,SYDNEY OLYMPIC PARK,0.72,543.0,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1202
sylvania-waters,2224,3159,40 to 59,SYLVANIA WATERS,0.65,480.0,925.0,1.65,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.425
sylvania,2224,10489,60+,SYLVANIA,0.82,480.0,725.0,1.17,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3730
tamarama,2026,1627,20 to 39,TAMARAMA,1.23,813.0,1800.0,4.84,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2962
taren-point,2229,1732,60+,TAREN POINT,,,745.0,1.3,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1118
telopea,2117,5426,20 to 39,TELOPEA,0.56,400.0,515.0,1.17,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.931
tempe,2044,3548,20 to 39,TEMPE,,460.0,660.0,1.08,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1731
ten-mile-hollow,2250,0,60+,TEN MILE HOLLOW,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.7
tennyson-point,2111,1227,40 to 59,TENNYSON POINT,,,1000.0,2.85,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2412
tennyson,2754,385,60+,TENNYSON,,,460.0,0.6,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1944
terrey-hills,2084,3034,40 to 59,TERREY HILLS,,,940.0,1.42,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.95
the-rocks,2000,773,20 to 39,THE ROCKS,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1566
thornleigh,2120,8461,40 to 59,THORNLEIGH,0.87,510.0,600.0,1.06,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1833
toongabbie,2146,14345,20 to 39,TOONGABBIE,0.56,440.0,450.0,0.77,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3194
tregear,2770,3885,20 to 39,TREGEAR,,,325.0,0.43,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4074
turramurra,2074,11926,40 to 59,TURRAMURRA,0.86,570.0,850.0,1.86,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3986
turrella,2205,2522,20 to 39,TURRELLA,0.68,580.0,600.0,1.04,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3667
ultimo,2007,8831,20 to 39,ULTIMO,0.66,600.0,800.0,1.68,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3547
upper-colo,2756,60,40 to 59,UPPER COLO,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3701
upper-macdonald,2775,32,60+,UPPER MACDONALD,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3153
varroville,2566,106,60+,VARROVILLE,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2540
vaucluse,2030,9335,40 to 59,VAUCLUSE,1.11,680.0,1802.0,4.76,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1768
villawood,2163,6026,20 to 39,VILLAWOOD,,353.0,490.0,0.7,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1200
vineyard,2765,1175,60+,VINEYARD,,,555.0,0.9,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.610
voyager-point,2172,1674,40 to 59,VOYAGER POINT,,,595.2615973565999,1.03,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4435
wahroonga,2076,17367,40 to 59,WAHROONGA,0.84,550.0,900.0,1.86,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2748
waitara,2077,5944,20 to 39,WAITARA,0.66,500.0,650.0,1.2,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3466
wakeley,2176,4750,20 to 39,WAKELEY,,,450.0,0.72,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.723
wallacia,2745,1627,40 to 59,WALLACIA,,,430.0,0.51,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1255
wareemba,2046,1555,40 to 59,WAREEMBA,,600.0,700.0,1.87,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2513
warrawee,2074,2982,40 to 59,WARRAWEE,0.9,560.0,1075.0,3.23,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.207
warriewood,2102,7497,40 to 59,WARRIEWOOD,0.87,700.0,970.0,1.46,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2802
warwick-farm,2170,5867,20 to 39,WARWICK FARM,0.34,350.0,400.0,0.41,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.586
waterfall,2233,483,40 to 59,WATERFALL,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.39
waterloo,2017,14619,20 to 39,WATERLOO,0.83,680.0,745.0,1.0,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1557
watsons-bay,2030,853,40 to 59,WATSONS BAY,,800.0,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1014
wattle-grove,2173,8960,20 to 39,WATTLE GROVE,,,520.0,0.79,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.32
waverley,2024,4349,20 to 39,WAVERLEY,0.8,606.0,1158.0,2.06,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2863
waverton,2060,3010,20 to 39,WAVERTON,1.08,640.0,1125.0,3.04,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2305
webbs-creek,2775,45,60+,WEBBS CREEK,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3540
wedderburn,2560,627,40 to 59,WEDDERBURN,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3041
wentworth-point,2127,6984,20 to 39,WENTWORTH POINT,0.66,540.0,560.0,0.92,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4083
wentworthville,2145,11325,20 to 39,WENTWORTHVILLE,0.57,440.0,480.0,0.9,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1110
werrington-county,2747,3642,20 to 39,WERRINGTON COUNTY,,,425.0,0.61,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.936
werrington-downs,2747,3240,20 to 39,WERRINGTON DOWNS,,,450.0,0.61,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.77
werrington,2747,4028,20 to 39,WERRINGTON,0.4,330.0,470.0,0.61,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.563
west-hoxton,2171,10015,40 to 59,WEST HOXTON,,490.0,535.0,0.77,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1193
west-pennant-hills,2125,16367,40 to 59,WEST PENNANT HILLS,,400.0,650.0,1.48,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2800
west-pymble,2073,5305,40 to 59,WEST PYMBLE,,,895.0,1.65,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2360
west-ryde,2114,13397,20 to 39,WEST RYDE,0.58,395.0,570.0,1.4,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3773
westleigh,2120,4463,40 to 59,WESTLEIGH,,,700.0,1.23,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3293
westmead,2145,16306,20 to 39,WESTMEAD,0.52,445.0,450.0,0.89,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2233
wetherill-park,2164,6147,20 to 39,WETHERILL PARK,,450.0,495.0,0.73,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1204
whalan,2770,5962,20 to 39,WHALAN,,280.0,340.0,0.46,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.738
whale-beach,2107,0,,WHALE BEACH,,,1280.0,3.65,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2119
wheeler-heights,2097,0,,WHEELER HEIGHTS,,528.0,860.0,1.43,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3424
wheeny-creek,2758,20,40 to 59,WHEENY CREEK,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1480
wilberforce,2756,3001,40 to 59,WILBERFORCE,,,455.0,0.82,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4037
wiley-park,2195,10127,20 to 39,WILEY PARK,0.38,350.0,500.0,0.74,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4011
willmot,2770,2445,5 to 19,WILLMOT,,,310.0,0.4,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2834
willoughby-east,2068,1818,40 to 59,WILLOUGHBY EAST,,,1063.2543220223704,2.51,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2905
willoughby,2068,6542,40 to 59,WILLOUGHBY,0.92,540.0,945.0,2.12,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4104
windsor-downs,2756,1183,40 to 59,WINDSOR DOWNS,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.2161
windsor,2756,1900,40 to 59,WINDSOR,0.41,295.0,400.0,0.65,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1203
winston-hills,2153,11694,40 to 59,WINSTON HILLS,0.67,475.0,550.0,0.94,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3985
wisemans-ferry,2775,229,40 to 59,WISEMANS FERRY,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.672
wolli-creek,2205,6387,20 to 39,WOLLI CREEK,0.72,600.0,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4279
wollstonecraft,2065,8323,20 to 39,WOLLSTONECRAFT,1.01,600.0,1200.0,2.94,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.5
womerah,2756,0,60+,WOMERAH,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1335
woodbine,2560,2750,20 to 39,WOODBINE,,,380.0,0.63,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1511
woodcroft,2767,6448,20 to 39,WOODCROFT,,530.0,480.0,0.65,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3110
woodpark,2164,1519,20 to 39,WOODPARK,,,578.0,0.69,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.73
woollahra,2025,7414,20 to 39,WOOLLAHRA,1.18,690.0,1450.0,3.1,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3761
woolloomooloo,2011,4014,20 to 39,WOOLLOOMOOLOO,1.15,650.0,755.0,1.54,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4282
woolooware,2230,3967,40 to 59,WOOLOOWARE,0.67,515.0,850.0,1.56,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1208
woolwich,2110,814,60+,WOOLWICH,,450.0,1714.9658122495005,4.57,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.53
woronora,2232,2193,40 to 59,WORONORA,,,650.0,1.16,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.4572
woronora-dam,2508,0,60+,WORONORA DAM,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.391
woronora-heights,2233,2870,40 to 59,WORONORA HEIGHTS,,,601.6174444956416,1.05,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3605
wrights-creek,2775,19,40 to 59,WRIGHTS CREEK,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.401
yagoona,2199,18014,20 to 39,YAGOONA,0.5,430.0,500.0,0.8,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.573
yarramundi,2753,828,40 to 59,YARRAMUNDI,,,,,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1468
yarrawarrah,2233,2726,40 to 59,YARRAWARRAH,,,588.6211600471531,1.01,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.3705
yennora,2161,1616,60+,YENNORA,,440.0,400.0,0.41,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1186
yowie-bay,2228,3095,40 to 59,YOWIE BAY,,,820.0,1.67,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.1620
zetland,2017,10071,20 to 39,ZETLAND,0.88,735.0,978.0,1.32,ckan_91e70237_d9d1_4719_a82f_e71b811154c6.420
